Hours,Price (€),Volume (MWh)
00h-01h,49.97,13017.2
01h-02h,47.26,13255.8
02h-03h,48.12,13479.9
03h-04h,47.97,13306.8
04h-05h,51.58,13108.7
05h-06h,60.06,12413.2
06h-07h,80.66,11680.9
07h-08h,88.7,12142.8
08h-09h,99.26,15049.2
09h-10h,88.39,14422.2
10h-11h,78.9,16546.2
11h-12h,71.27,17167.0
12h-13h,70.24,17808.7
13h-14h,73.81,17821.6
14h-15h,78.03,17873.3
15h-16h,78.78,17329.6
16h-17h,82.87,15478.4
17h-18h,89.86,13796.3
18h-19h,110.0,14949.9
19h-20h,107.52,14416.5
20h-21h,108.5,14059.1
21h-22h,92.18,13382.9
22h-23h,87.0,11505.3
23h-24h,80.29,10549.0
